Institute,Sector,Positive,Negative,Score,Final Score
Opleidingsinstituut voor Politie- en Beveiligingspersoneel BV,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
Philipse,Sectorunit handel,0.0,1.0,0.5,Positive
Prive Coiffures Vakopleiding,"Sectorunit voedsel, groen en gastvrijheid",0.0,2.0,0.75,Positive
Profit Opleidingen,"Sectorunit zorg, welzijn en sport",0.0,2.0,0.75,Positive
ROC Friese Poort,Sectorunit creatieve industrie en ICT,2.0,9.0,0.498046875,Negative
ROC Friese Poort,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,2.0,0.75,Positive
ROC Friese Poort,Sectorunit techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
ROC Friese Poort,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
ROC Friese Poort,"Sectorunit zorg, welzijn en sport",0.0,2.0,0.75,Positive
ROC Horizon College,Sectorunit creatieve industrie en ICT,0.0,3.0,0.875,Positive
ROC Horizon College,Sectorunit handel,1.0,0.0,0.25,Negative
ROC Horizon College,"Sectorunit mobiliteit, transport, logistiek, maritiem",1.0,0.0,0.25,Negative
ROC Horizon College,Sectorunit zakelijke dienstverlening en veiligheid,1.0,6.0,0.734375,Positive
ROC Horizon College,"Sectorunit zorg, welzijn en sport",1.0,0.0,0.25,Negative
ROC ROC Kop van Noord-Holland,Sectorunit handel,0.0,1.0,0.5,Positive
ROC ROC Kop van Noord-Holland,Sectorunit zakelijke dienstverlening en veiligheid,0.0,2.0,0.75,Positive
ROC ROC Kop van Noord-Holland,"Sectorunit zorg, welzijn en sport",0.0,2.0,0.75,Positive
ROC Leeuwenborgh,Sectorunit creatieve industrie en ICT,0.0,2.0,0.75,Positive
ROC Leeuwenborgh,Sectorunit handel,0.0,1.0,0.5,Positive
ROC Leeuwenborgh,Sectorunit techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
ROC Leeuwenborgh,"Sectorunit voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
